11-BZK_005: 前往 天台    t=2729.1806539766385


11-BZK_005: ZCArea 天台 160   t=2882.7806539766384


7-Bell429: 前往 温城(物资中心)    t=1479.4629914903794


7-Bell429: WuZiNeed 温城(物资中心) 1200   t=2199.4629914903794


7-Bell429: 前往 乐清    t=2877.6055205743155


7-Bell429: WuZiNeed 乐清 1200   t=3597.6055205743155


7-Bell429: 前往 柯桥(集结地)    t=6651.796838196853


7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=7011.796838196853


7-Bell429: 前往 磐安    t=8566.940964178602


7-Bell429: JiuYuanMemberNeed 磐安 6   t=8926.940964178602


7-Bell429: 前往 柯桥(集结地)    t=10482.085090160352


7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=10842.085090160352


7-Bell429: 前往 磐安    t=12397.229216142101


7-Bell429: JiuYuanMemberNeed 磐安 6   t=12757.229216142101


7-Bell429: 返回基地 义乌机场    t=13469.543211898834


7-Bell429: 基地保障 义乌机场 20分钟   t=14669.543211898834


7-Bell429: 前往 缙云    t=15723.97757075989


7-Bell429: ToTransZaiMin 缙云 3   t=15903.97757075989


7-Bell429: 前往 诸暨(安置点)    t=17516.328401711657


7-Bell429: ToTransZaiMin 诸暨(安置点) 3   t=17696.328401711657


6-AC311: 前往 柯桥(集结地)    t=4076.6763199631264


6-AC311: JiuYuanMemberNeed 柯桥(集结地) 4   t=4316.676319963126


6-AC311: 前往 宁海(安置点)    t=6193.259061870276


6-AC311: JiuYuanMemberNeed 宁海(安置点) 4   t=6433.259061870276


6-AC311: 前往 缙云    t=8629.926814932098


6-AC311: ToTransZaiMin 缙云 4   t=8869.926814932098


6-AC311: 前往 诸暨(安置点)    t=10636.794600516741


6-AC311: ToTransZaiMin 诸暨(安置点) 4   t=10876.794600516741


6-AC311: 返回基地 杭州机场    t=11853.981458386674


6-AC311: 基地保障 杭州机场 20分钟   t=13053.981458386674


6-AC311: 前往 缙云    t=15777.140251749002


6-AC311: ToTransZaiMin 缙云 4   t=16017.140251749002


6-AC311: 前往 诸暨(安置点)    t=17784.008037333646


6-AC311: ToTransZaiMin 诸暨(安置点) 4   t=18024.008037333646


4-AC312: 前往 温城(物资中心)    t=1472.2176546739622


4-AC312: WuZiNeed 温城(物资中心) 1600   t=2432.217654673962


4-AC312: 前往 乐清    t=3092.778710781648


4-AC312: WuZiNeed 乐清 1600   t=4052.778710781648


4-AC312: 前往 缙云    t=5453.83798541889


4-AC312: ToTransZaiMin 缙云 12   t=6173.83798541889


4-AC312: 前往 诸暨(安置点)    t=7744.387128160795


4-AC312: ToTransZaiMin 诸暨(安置点) 12   t=8464.387128160795


4-AC312: 前往 柯桥(集结地)    t=9100.861524546035


4-AC312: JiuYuanMemberNeed 柯桥(集结地) 12   t=9820.861524546035


4-AC312: 前往 磐安    t=11335.687099113444


4-AC312: JiuYuanMemberNeed 磐安 12   t=12055.687099113444


4-AC312: 返回基地 义乌机场    t=12749.533694980186


