7-Bell429: 前往 柯桥(集结地)    t=1750.442910460566


7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=2110.442910460566


7-Bell429: 前往 宁海(安置点)    t=3822.9138536457986


7-Bell429: JiuYuanMemberNeed 宁海(安置点) 6   t=4182.913853645799


7-Bell429: 前往 缙云    t=6187.477582675598


7-Bell429: ToTransZaiMin 缙云 6   t=6547.477582675598


7-Bell429: 前往 宁海(安置点)    t=8552.041311705396


7-Bell429: ToTransZaiMin 宁海(安置点) 6   t=8912.041311705396


7-Bell429: 前往 缙云    t=10916.605040735194


7-Bell429: ToTransZaiMin 缙云 1   t=10976.605040735194


7-Bell429: 前往 诸暨(安置点)    t=12588.95587168696


7-Bell429: ToTransZaiMin 诸暨(安置点) 1   t=12648.95587168696


7-Bell429: 返回基地 义乌机场    t=13264.136516052587


7-Bell429: 基地保障 义乌机场 20分钟   t=14464.136516052587


7-Bell429: 返回基地 台州机场    t=16674.16746042072


7-Bell429: 基地保障 台州机场 20分钟   t=17874.16746042072


8-H135: 前往 缙云    t=3049.1072272814035


8-H135: ToTransZaiMin 缙云 2   t=3169.1072272814035


8-H135: 前往 诸暨(安置点)    t=4838.588599487366


8-H135: ToTransZaiMin 诸暨(安置点) 2   t=4958.588599487366


8-H135: 前往 温城(物资中心)    t=7580.8344642969205


8-H135: WuZiNeed 温城(物资中心) 1455   t=8453.83446429692


8-H135: 前往 乐清    t=9156.005665671233


8-H135: WuZiNeed 乐清 1455   t=10029.005665671233


8-H135: 前往 柯桥(集结地)    t=13191.416360689844


8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=13311.416360689844


8-H135: 前往 磐安    t=14921.66401869457


8-H135: JiuYuanMemberNeed 磐安 2   t=15041.66401869457


8-H135: 前往 柯桥(集结地)    t=16651.911676699296


8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=16771.911676699296


8-H135: 前往 磐安    t=18382.15933470402


8-H135: JiuYuanMemberNeed 磐安 2   t=18502.15933470402


5-AC313_YL: 前往 温城(物资中心)    t=4697.236176589424


5-AC313_YL: WuZiNeed 温城(物资中心) 4000   t=6497.236176589424


5-AC313_YL: 前往 磐安    t=8192.729236824272


5-AC313_YL: WuZiNeed 磐安 4000   t=9992.729236824272


5-AC313_YL: 返回基地 义乌机场    t=10739.09808496778


5-AC313_YL: 基地保障 义乌机场 20分钟   t=11939.09808496778


5-AC313_YL: 前往 乐清    t=14303.139195592761


5-AC313_YL: ToTransShangYuan 乐清 3   t=15203.139195592761


5-AC313_YL: 前往 柯桥(集结地)    t=18403.347628002033


5-AC313_YL: ToTransShangYuan 柯桥(集结地) 3   t=19303.347628002033


3-H155: 前往 柯桥(集结地)    t=1717.0231623254604


3-H155: JiuYuanMemberNeed 柯桥(集结地) 13   t=2497.0231623254604


3-H155: 前往 宁海(安置点)    t=4105.522655388732


3-H155: JiuYuanMemberNeed 宁海(安置点) 13   t=4885.522655388732


3-H155: 前往 缙云    t=6768.380729441722


