

3-H155: 前往 柯桥(集结地)    t=2391.069003977226
3-H155: JiuYuanMemberNeed 柯桥(集结地) 13   t=3171.069003977226
3-H155: 前往 磐安    t=4631.793665167226
3-H155: JiuYuanMemberNeed 磐安 13   t=5411.793665167226
3-H155: 前往 温城(物资中心)    t=6931.682087020608
3-H155: WuZiNeed 温城(物资中心) 1820   t=8023.682087020608
3-H155: 前往 磐安    t=9543.57050887399
3-H155: WuZiNeed 磐安 1820   t=10635.57050887399


4-AC312: 前往 柯桥(集结地)    t=3757.045617745001
4-AC312: JiuYuanMemberNeed 柯桥(集结地) 12   t=4477.045617745001
4-AC312: 前往 磐安    t=5991.871192312409
4-AC312: JiuYuanMemberNeed 磐安 12   t=6711.871192312409
4-AC312: 前往 缙云    t=7467.861129781502
4-AC312: ToTransZaiMin 缙云 12   t=8187.861129781502
4-AC312: 前往 宁海(安置点)    t=10140.454688058677
4-AC312: ToTransZaiMin 宁海(安置点) 12   t=10860.454688058677


6-AC311: 前往 温城(物资中心)    t=4857.5261680164385
6-AC311: WuZiNeed 温城(物资中心) 976   t=5443.126168016439
6-AC311: 前往 磐安    t=7216.329326845385
6-AC311: WuZiNeed 磐安 976   t=7801.929326845386
6-AC311: 前往 缙云    t=8652.418006498116
6-AC311: ToTransZaiMin 缙云 4   t=8892.418006498116
6-AC311: 前往 宁海(安置点)    t=11089.085759559937
6-AC311: ToTransZaiMin 宁海(安置点) 4   t=11329.085759559937


7-Bell429: 前往 柯桥(集结地)    t=3825.1038661260473
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=4185.103866126047
7-Bell429: 前往 磐安    t=5740.247992107797
7-Bell429: JiuYuanMemberNeed 磐安 6   t=6100.247992107797
7-Bell429: 前往 缙云    t=6876.359334756676
7-Bell429: ToTransZaiMin 缙云 6   t=7236.359334756676
7-Bell429: 前往 诸暨(安置点)    t=8848.710165708442
7-Bell429: ToTransZaiMin 诸暨(安置点) 6   t=9208.710165708442
7-Bell429: 前往 缙云    t=10821.060996660208
7-Bell429: ToTransZaiMin 缙云 6   t=11181.060996660208
7-Bell429: 前往 诸暨(安置点)    t=12793.411827611973
7-Bell429: ToTransZaiMin 诸暨(安置点) 6   t=13153.411827611973


8-H135: 前往 温城(物资中心)    t=4655.930237495848
8-H135: WuZiNeed 温城(物资中心) 1455   t=5528.930237495848
8-H135: 前往 磐安    t=7204.397789145246
8-H135: WuZiNeed 磐安 1455   t=8077.397789145246
8-H135: 前往 缙云    t=8881.00913999822
8-H135: ToTransZaiMin 缙云 2   t=9001.00913999822
8-H135: 前往 宁海(安置点)    t=11076.600717694428
8-H135: ToTransZaiMin 宁海(安置点) 2   t=11196.600717694428
8-H135: 前往 乐清    t=13140.418090609239
8-H135: ToTransShangYuan 乐清 2   t=13740.418090609239
8-H135: 前往 柯桥(集结地)    t=16902.82878562785
8-H135: ToTransShangYuan 柯桥(集结地) 2   t=17502.82878562785


5-AC313_YL: 前往 柯桥(集结地)    t=3950.60683980538
5-AC313_YL: JiuYuanMemberNeed 柯桥(集结地) 19   t=4805.606839805379
5-AC313_YL: 前往 磐安    t=6435.100485754384
5-AC313_YL: JiuYuanMemberNeed 磐安 19   t=7290.100485754384
5-AC313_YL: 返回基地 杭州机场    t=9297.55254311042
5-AC313_YL: 基地保障 杭州机场 20分钟   t=10497.55254311042
5-AC313_YL: 前往 柯桥(集结地)    t=11074.311449290217
5-AC313_YL: JiuYuanMemberNeed 柯桥(集结地) 17   t=11839.311449290217
5-AC313_YL: 前往 磐安    t=13468.805095239222
5-AC313_YL: JiuYuanMemberNeed 磐安 17   t=14233.805095239222
5-AC313_YL: 前往 乐清    t=15902.331192358288
5-AC313_YL: ToTransShangYuan 乐清 1   t=16202.331192358288
5-AC313_YL: 前往 柯桥(集结地)    t=19402.53962476756
5-AC313_YL: ToTransShangYuan 柯桥(集结地) 1   t=19702.53962476756


9-MI171: 返回基地 杭州机场    t=1200.0
9-MI171: 基地保障 杭州机场 20分钟   t=2400.0
9-MI171: 返回基地 义乌机场    t=3979.2041214760684
9-MI171: 基地保障 义乌机场 20分钟   t=5179.204121476068
9-MI171: 返回基地 台州机场    t=7601.029698012811
9-MI171: 基地保障 台州机场 20分钟   t=8801.029698012811
9-MI171: 返回基地 杭州机场    t=12229.824566987003
9-MI171: 基地保障 杭州机场 20分钟   t=13429.824566987003
9-MI171: 返回基地 台州机场    t=16858.619435961195
9-MI171: 基地保障 台州机场 20分钟   t=18058.619435961195
9-MI171: 返回基地 台州机场    t=18058.619435961195
9-MI171: 基地保障 台州机场 20分钟   t=19258.619435961195
9-MI171: 返回基地 杭州机场    t=22687.414304935384
9-MI171: 基地保障 杭州机场 20分钟   t=23887.414304935384
9-MI171: 返回基地 义乌机场    t=25466.618426411453
9-MI171: 基地保障 义乌机场 20分钟   t=26666.618426411453
