

6-AC311: 前往 天台    t=3481.909378698629
6-AC311: ZCArea 天台 160   t=6441.909378698629
6-AC311: 前往 柯桥(集结地)    t=8177.3950200934005
6-AC311: JiuYuanMemberNeed 柯桥(集结地) 4   t=8417.395020093401
6-AC311: 前往 宁海(安置点)    t=10293.977762000552
6-AC311: JiuYuanMemberNeed 宁海(安置点) 4   t=10533.977762000552
6-AC311: 前往 柯桥(集结地)    t=12410.560503907702
6-AC311: JiuYuanMemberNeed 柯桥(集结地) 4   t=12650.560503907702
6-AC311: 前往 磐安    t=14354.739275296035
6-AC311: JiuYuanMemberNeed 磐安 4   t=14594.739275296035
6-AC311: 返回基地 义乌机场    t=15375.316695646121
6-AC311: 基地保障 义乌机场 20分钟   t=16575.31669564612
6-AC311: 返回基地 义乌机场    t=16575.31669564612
6-AC311: 基地保障 义乌机场 20分钟   t=17775.31669564612
6-AC311: 前往 柯桥(集结地)    t=19164.897200286217
6-AC311: JiuYuanMemberNeed 柯桥(集结地) 4   t=19404.897200286217
6-AC311: 前往 磐安    t=21109.075971674552
6-AC311: JiuYuanMemberNeed 磐安 4   t=21349.075971674552


5-AC313_YL: 前往 温城(物资中心)    t=3641.757849968744
5-AC313_YL: WuZiNeed 温城(物资中心) 2280   t=4667.757849968744
5-AC313_YL: 前往 磐安    t=6363.250910203593
5-AC313_YL: WuZiNeed 磐安 2280   t=7389.250910203593
5-AC313_YL: 返回基地 杭州机场    t=9396.70296755963
5-AC313_YL: 基地保障 杭州机场 20分钟   t=10596.70296755963
5-AC313_YL: 前往 柯桥(集结地)    t=11173.461873739427
5-AC313_YL: JiuYuanMemberNeed 柯桥(集结地) 19   t=12028.461873739427
5-AC313_YL: 前往 宁海(安置点)    t=13822.80393771439
5-AC313_YL: JiuYuanMemberNeed 宁海(安置点) 19   t=14677.80393771439
5-AC313_YL: 前往 乐清    t=16644.85418759631
5-AC313_YL: ToTransShangYuan 乐清 3   t=17544.85418759631
5-AC313_YL: 前往 柯桥(集结地)    t=20745.06262000558
5-AC313_YL: ToTransShangYuan 柯桥(集结地) 3   t=21645.06262000558


3-H155: 前往 温城(物资中心)    t=4335.022429728377
3-H155: WuZiNeed 温城(物资中心) 1820   t=5427.022429728377
3-H155: 前往 磐安    t=6946.910851581759
3-H155: WuZiNeed 磐安 1820   t=8038.910851581759
3-H155: 返回基地 台州机场    t=9450.356873801178
3-H155: 基地保障 台州机场 20分钟   t=10650.356873801178
3-H155: 前往 柯桥(集结地)    t=13116.079433769572
3-H155: JiuYuanMemberNeed 柯桥(集结地) 13   t=13896.079433769572
3-H155: 前往 宁海(安置点)    t=15504.578926832844
3-H155: JiuYuanMemberNeed 宁海(安置点) 13   t=16284.578926832844
3-H155: 返回基地 义乌机场    t=18008.986212116935
3-H155: 基地保障 义乌机场 20分钟   t=19208.986212116935
3-H155: 返回基地 杭州机场    t=20562.58974481071
3-H155: 基地保障 杭州机场 20分钟   t=21762.58974481071


8-H135: 前往 柯桥(集结地)    t=3918.1193574454737
8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=4038.1193574454737
8-H135: 前往 宁海(安置点)    t=5811.268404916797
8-H135: JiuYuanMemberNeed 宁海(安置点) 2   t=5931.268404916797
8-H135: 前往 缙云    t=8006.859982613007
8-H135: ToTransZaiMin 缙云 2   t=8126.859982613007
8-H135: 前往 宁海(安置点)    t=10202.451560309215
8-H135: ToTransZaiMin 宁海(安置点) 2   t=10322.451560309215
8-H135: 前往 温城(物资中心)    t=11758.808728912214
8-H135: WuZiNeed 温城(物资中心) 1455   t=12631.808728912214
8-H135: 前往 乐清    t=13333.979930286527
8-H135: WuZiNeed 乐清 1455   t=14206.979930286527
8-H135: 前往 柯桥(集结地)    t=17369.39062530514
8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=17489.39062530514
8-H135: 前往 磐安    t=19099.638283309865
8-H135: JiuYuanMemberNeed 磐安 2   t=19219.638283309865
8-H135: 前往 柯桥(集结地)    t=20829.88594131459
8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=20949.88594131459
8-H135: 前往 磐安    t=22560.133599319317
8-H135: JiuYuanMemberNeed 磐安 2   t=22680.133599319317


7-Bell429: 前往 温城(物资中心)    t=1479.4629914903794
7-Bell429: WuZiNeed 温城(物资中心) 1200   t=2199.4629914903794
7-Bell429: 前往 乐清    t=2877.6055205743155
7-Bell429: WuZiNeed 乐清 1200   t=3597.6055205743155
7-Bell429: 前往 缙云    t=5035.955346247529
7-Bell429: ToTransZaiMin 缙云 6   t=5395.955346247529
7-Bell429: 前往 宁海(安置点)    t=7400.519075277328
7-Bell429: ToTransZaiMin 宁海(安置点) 6   t=7760.519075277328
7-Bell429: 前往 温城(物资中心)    t=9147.723336969957
7-Bell429: WuZiNeed 温城(物资中心) 1200   t=9867.723336969957
7-Bell429: 前往 乐清    t=10545.865866053893
7-Bell429: WuZiNeed 乐清 1200   t=11265.865866053893
7-Bell429: 返回基地 义乌机场    t=13522.04198303819
7-Bell429: 基地保障 义乌机场 20分钟   t=14722.04198303819
7-Bell429: 返回基地 台州机场    t=16932.072927406323
7-Bell429: 基地保障 台州机场 20分钟   t=18132.072927406323
7-Bell429: 前往 柯桥(集结地)    t=20757.17679353237
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=21117.17679353237
7-Bell429: 前往 磐安    t=22672.32091951412
7-Bell429: JiuYuanMemberNeed 磐安 6   t=23032.32091951412


10-H225: 前往 东阳(水源)    t=3017.800595145717
10-H225: FireNum 东阳(水源) 4   t=3917.800595145717
10-H225: 前往 天台    t=4889.89812933762
10-H225: FireNum 天台 4   t=5789.89812933762
10-H225: 前往 缙云    t=7140.485726889576
10-H225: ToTransZaiMin 缙云 19   t=7995.485726889576
10-H225: 前往 诸暨(安置点)    t=9531.892496963179
10-H225: ToTransZaiMin 诸暨(安置点) 19   t=10386.892496963179
10-H225: 前往 柯桥(集结地)    t=11009.530493427
10-H225: JiuYuanMemberNeed 柯桥(集结地) 2   t=11099.530493427
10-H225: 前往 宁海(安置点)    t=12731.341573346263
10-H225: JiuYuanMemberNeed 宁海(安置点) 2   t=12821.341573346263
10-H225: 返回基地 杭州机场    t=14972.98576569961
10-H225: 基地保障 杭州机场 20分钟   t=16172.98576569961
10-H225: 前往 柯桥(集结地)    t=16697.502017334136
10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=17552.502017334136
10-H225: 前往 磐安    t=19034.396601150078
10-H225: JiuYuanMemberNeed 磐安 19   t=19889.396601150078
10-H225: 前往 柯桥(集结地)    t=21371.29118496602
10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=22226.29118496602
10-H225: 前往 磐安    t=23708.18576878196
10-H225: JiuYuanMemberNeed 磐安 19   t=24563.18576878196


9-MI171: 返回基地 台州机场    t=4628.794868974192
9-MI171: 基地保障 台州机场 20分钟   t=5828.794868974192
9-MI171: 返回基地 台州机场    t=5828.794868974192
9-MI171: 基地保障 台州机场 20分钟   t=7028.794868974192
9-MI171: 返回基地 杭州机场    t=10457.589737948383
9-MI171: 基地保障 杭州机场 20分钟   t=11657.589737948383
9-MI171: 返回基地 义乌机场    t=13236.793859424452
9-MI171: 基地保障 义乌机场 20分钟   t=14436.793859424452
9-MI171: 返回基地 杭州机场    t=16015.99798090052
9-MI171: 基地保障 杭州机场 20分钟   t=17215.99798090052
9-MI171: 返回基地 台州机场    t=20644.79284987471
9-MI171: 基地保障 台州机场 20分钟   t=21844.79284987471
9-MI171: 返回基地 义乌机场    t=24266.618426411453
9-MI171: 基地保障 义乌机场 20分钟   t=25466.618426411453


4-AC312: 前往 温城(物资中心)    t=3469.930445711684
4-AC312: WuZiNeed 温城(物资中心) 1600   t=4429.930445711684
4-AC312: 前往 磐安    t=6006.111031337414
4-AC312: WuZiNeed 磐安 1600   t=6966.111031337414
4-AC312: 前往 缙云    t=7722.100968806507
