

3-H155: 前往 缙云    t=2190.4151299302066
3-H155: ToTransZaiMin 缙云 13   t=2970.4151299302066
3-H155: 前往 诸暨(安置点)    t=4484.873231859901
3-H155: ToTransZaiMin 诸暨(安置点) 13   t=5264.873231859901
3-H155: 前往 柯桥(集结地)    t=5878.616399802811
3-H155: JiuYuanMemberNeed 柯桥(集结地) 13   t=6658.616399802811
3-H155: 前往 磐安    t=8119.341060992812
3-H155: JiuYuanMemberNeed 磐安 13   t=8899.341060992812
3-H155: 返回基地 台州机场    t=10310.787083212232
3-H155: 基地保障 台州机场 20分钟   t=11510.787083212232
3-H155: 前往 温城(物资中心)    t=11773.282678790696
3-H155: WuZiNeed 温城(物资中心) 1820   t=12865.282678790696
3-H155: 前往 磐安    t=14385.171100644078
3-H155: WuZiNeed 磐安 1820   t=15477.171100644078


7-Bell429: 前往 缙云    t=3685.0118266424297
7-Bell429: ToTransZaiMin 缙云 6   t=4045.0118266424297
7-Bell429: 前往 诸暨(安置点)    t=5657.362657594196
7-Bell429: ToTransZaiMin 诸暨(安置点) 6   t=6017.362657594196
7-Bell429: 前往 温城(物资中心)    t=8549.873873037644
7-Bell429: WuZiNeed 温城(物资中心) 1200   t=9269.873873037644
7-Bell429: 前往 磐安    t=10888.006033185733
7-Bell429: WuZiNeed 磐安 1200   t=11608.006033185733
7-Bell429: 返回基地 台州机场    t=13110.686208932644
7-Bell429: 基地保障 台州机场 20分钟   t=14310.686208932644
7-Bell429: 前往 温城(物资中心)    t=14590.149200423024
7-Bell429: WuZiNeed 温城(物资中心) 1200   t=15310.149200423024
7-Bell429: 前往 乐清    t=15988.29172950696
7-Bell429: WuZiNeed 乐清 1200   t=16708.29172950696


4-AC312: 前往 缙云    t=3620.585594099848
4-AC312: ToTransZaiMin 缙云 12   t=4340.585594099848
4-AC312: 前往 诸暨(安置点)    t=5911.134736841754
4-AC312: ToTransZaiMin 诸暨(安置点) 12   t=6631.134736841754
4-AC312: 前往 缙云    t=8201.68387958366
4-AC312: ToTransZaiMin 缙云 12   t=8921.68387958366
4-AC312: 前往 宁海(安置点)    t=10874.277437860834
4-AC312: ToTransZaiMin 宁海(安置点) 12   t=11594.277437860834
4-AC312: 返回基地 台州机场    t=12677.865038260223
4-AC312: 基地保障 台州机场 20分钟   t=13877.865038260223
4-AC312: 前往 温城(物资中心)    t=14150.082692934186
4-AC312: WuZiNeed 温城(物资中心) 1600   t=15110.082692934186
4-AC312: 前往 乐清    t=15770.643749041872
4-AC312: WuZiNeed 乐清 1600   t=16730.643749041872


