

8-H135: 前往 温城(物资中心)    t=3612.9181903234435
8-H135: WuZiNeed 温城(物资中心) 1455   t=4485.918190323444
8-H135: 前往 乐清    t=5188.089391697756
8-H135: WuZiNeed 乐清 1455   t=6061.089391697756
8-H135: 前往 缙云    t=7550.404368674351
8-H135: ToTransZaiMin 缙云 2   t=7670.404368674351
8-H135: 前往 诸暨(安置点)    t=9339.885740880314
8-H135: ToTransZaiMin 诸暨(安置点) 2   t=9459.885740880314
8-H135: 前往 柯桥(集结地)    t=10136.453012628404
8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=10256.453012628404
8-H135: 前往 磐安    t=11866.70067063313
8-H135: JiuYuanMemberNeed 磐安 2   t=11986.70067063313


7-Bell429: 前往 天台    t=2528.880077822405
7-Bell429: ZCArea 天台 160   t=5216.880077822405
7-Bell429: 前往 柯桥(集结地)    t=6800.593210654136
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=7160.593210654136
7-Bell429: 前往 宁海(安置点)    t=8873.064153839368
7-Bell429: JiuYuanMemberNeed 宁海(安置点) 6   t=9233.064153839368
7-Bell429: 前往 柯桥(集结地)    t=10945.5350970246
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=11305.5350970246
7-Bell429: 前往 磐安    t=12860.67922300635
7-Bell429: JiuYuanMemberNeed 磐安 6   t=13220.67922300635


6-AC311: 前往 温城(物资中心)    t=4857.5261680164385
6-AC311: WuZiNeed 温城(物资中心) 976   t=5443.126168016439
6-AC311: 前往 乐清    t=6186.257356137586
6-AC311: WuZiNeed 乐清 976   t=6771.857356137586
6-AC311: 前往 缙云    t=8348.049040104483
6-AC311: ToTransZaiMin 缙云 4   t=8588.049040104483
6-AC311: 前往 诸暨(安置点)    t=10354.916825689126
6-AC311: ToTransZaiMin 诸暨(安置点) 4   t=10594.916825689126
6-AC311: 前往 柯桥(集结地)    t=11310.95052162252
6-AC311: JiuYuanMemberNeed 柯桥(集结地) 4   t=11550.95052162252
6-AC311: 前往 磐安    t=13255.129293010854
6-AC311: JiuYuanMemberNeed 磐安 4   t=13495.129293010854


5-AC313_YL: 前往 乐清    t=4848.252404603603
5-AC313_YL: ToTransShangYuan 乐清 3   t=5748.252404603603
5-AC313_YL: 前往 柯桥(集结地)    t=8948.460837012875
5-AC313_YL: ToTransShangYuan 柯桥(集结地) 3   t=9848.460837012875
5-AC313_YL: 前往基地 义乌机场    t=11177.143391250418
5-AC313_YL: 基地保障 义乌机场 20分钟   t=12377.143391250418
5-AC313_YL: 前往 缙云    t=13481.988954519175
5-AC313_YL: ToTransZaiMin 缙云 19   t=14336.988954519175
