11-BZK_005: 前往 天台    t=3141.6414470405143
11-BZK_005: ZCArea 天台 160   t=3295.2414470405142


6-AC311: 前往 柯桥(集结地)    t=4076.6763199631264
6-AC311: JiuYuanMemberNeed 柯桥(集结地) 4   t=4316.676319963126
6-AC311: 前往 宁海(安置点)    t=6193.259061870276
6-AC311: JiuYuanMemberNeed 宁海(安置点) 4   t=6433.259061870276
6-AC311: 前往 缙云    t=8629.926814932098
6-AC311: ToTransZaiMin 缙云 4   t=8869.926814932098
6-AC311: 前往 宁海(安置点)    t=11066.59456799392
6-AC311: ToTransZaiMin 宁海(安置点) 4   t=11306.59456799392
6-AC311: 前往基地 义乌机场    t=13318.403067492025
6-AC311: 基地保障 义乌机场 20分钟   t=14518.403067492025
6-AC311: 前往基地 杭州机场    t=16097.607188968093
6-AC311: 基地保障 杭州机场 20分钟   t=17297.607188968093


8-H135: 前往 缙云    t=3773.063426799051
8-H135: ToTransZaiMin 缙云 2   t=3893.063426799051
8-H135: 前往 诸暨(安置点)    t=5562.544799005013
8-H135: ToTransZaiMin 诸暨(安置点) 2   t=5682.544799005013
8-H135: 前往 乐清    t=8386.19723636764
8-H135: ToTransShangYuan 乐清 2   t=8986.19723636764
8-H135: 前往 柯桥(集结地)    t=12148.60793138625
8-H135: ToTransShangYuan 柯桥(集结地) 2   t=12748.60793138625
8-H135: 前往 柯桥(集结地)    t=12748.60793138625
8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=12868.60793138625
8-H135: 前往 磐安    t=14478.855589390976
8-H135: JiuYuanMemberNeed 磐安 2   t=14598.855589390976
8-H135: 前往 柯桥(集结地)    t=16209.103247395702
8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=16329.103247395702
8-H135: 前往 磐安    t=17939.350905400428
8-H135: JiuYuanMemberNeed 磐安 2   t=18059.350905400428


3-H155: 前往 缙云    t=2190.4151299302066
3-H155: ToTransZaiMin 缙云 13   t=2970.4151299302066
3-H155: 前往 宁海(安置点)    t=4853.273203983196
3-H155: ToTransZaiMin 宁海(安置点) 13   t=5633.273203983196
3-H155: 前往 柯桥(集结地)    t=7241.772697046468
3-H155: JiuYuanMemberNeed 柯桥(集结地) 13   t=8021.772697046468
3-H155: 前往 宁海(安置点)    t=9630.27219010974
3-H155: JiuYuanMemberNeed 宁海(安置点) 13   t=10410.27219010974
3-H155: 前往基地 台州机场    t=11455.160233352008
3-H155: 基地保障 台州机场 20分钟   t=12655.160233352008
3-H155: 前往基地 台州机场    t=12655.160233352008
3-H155: 基地保障 台州机场 20分钟   t=13855.160233352008
3-H155: 前往 柯桥(集结地)    t=16320.882793320401
3-H155: JiuYuanMemberNeed 柯桥(集结地) 13   t=17100.8827933204
3-H155: 前往 磐安    t=18561.607454510402
3-H155: JiuYuanMemberNeed 磐安 13   t=19341.607454510402


5-AC313_YL: 前往 缙云    t=3071.208110476002
5-AC313_YL: ToTransZaiMin 缙云 19   t=3926.208110476002
5-AC313_YL: 前往 诸暨(安置点)    t=5615.64344330594
5-AC313_YL: ToTransZaiMin 诸暨(安置点) 19   t=6470.64344330594
5-AC313_YL: 前往基地 义乌机场    t=7115.235114493829
5-AC313_YL: 基地保障 义乌机场 20分钟   t=8315.23511449383
5-AC313_YL: 前往 缙云    t=9420.080677762586
5-AC313_YL: ToTransZaiMin 缙云 19   t=10275.080677762586
5-AC313_YL: 前往 诸暨(安置点)    t=11964.516010592524
5-AC313_YL: ToTransZaiMin 诸暨(安置点) 19   t=12819.516010592524
5-AC313_YL: 前往 乐清    t=15555.483018919644
5-AC313_YL: ToTransShangYuan 乐清 1   t=15855.483018919644
5-AC313_YL: 前往 柯桥(集结地)    t=19055.691451328916
5-AC313_YL: ToTransShangYuan 柯桥(集结地) 1   t=19355.691451328916


4-AC312: 前往 柯桥(集结地)    t=2435.182670791198
4-AC312: JiuYuanMemberNeed 柯桥(集结地) 12   t=3155.182670791198
4-AC312: 前往 宁海(安置点)    t=4823.25621915311
4-AC312: JiuYuanMemberNeed 宁海(安置点) 12   t=5543.25621915311
4-AC312: 前往 缙云    t=7495.849777430284
4-AC312: ToTransZaiMin 缙云 12   t=8215.849777430285
4-AC312: 前往 诸暨(安置点)    t=9786.39892017219
4-AC312: ToTransZaiMin 诸暨(安置点) 12   t=10506.39892017219
4-AC312: 前往基地 台州机场    t=12798.594238931251
4-AC312: 基地保障 台州机场 20分钟   t=13998.594238931251
4-AC312: 前往基地 台州机场    t=13998.594238931251
4-AC312: 基地保障 台州机场 20分钟   t=15198.594238931251
4-AC312: 前往 柯桥(集结地)    t=17755.63985667625
4-AC312: JiuYuanMemberNeed 柯桥(集结地) 12   t=18475.63985667625
4-AC312: 前往 磐安    t=19990.465431243658
4-AC312: JiuYuanMemberNeed 磐安 12   t=20710.465431243658


7-Bell429: 前往 缙云    t=3685.0118266424297
7-Bell429: ToTransZaiMin 缙云 6   t=4045.0118266424297
7-Bell429: 前往 诸暨(安置点)    t=5657.362657594196
7-Bell429: ToTransZaiMin 诸暨(安置点) 6   t=6017.362657594196
7-Bell429: 前往 柯桥(集结地)    t=6670.777437153188
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=7030.777437153188
7-Bell429: 前往 宁海(安置点)    t=8743.24838033842
7-Bell429: JiuYuanMemberNeed 宁海(安置点) 6   t=9103.24838033842
7-Bell429: 前往 柯桥(集结地)    t=10815.719323523652
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 5   t=11115.719323523652
7-Bell429: 前往 宁海(安置点)    t=12828.190266708883
7-Bell429: JiuYuanMemberNeed 宁海(安置点) 5   t=13128.190266708883
7-Bell429: 前往基地 台州机场    t=14240.618601719663
7-Bell429: 基地保障 台州机场 20分钟   t=15440.618601719663
7-Bell429: 前往基地 台州机场    t=15440.618601719663
7-Bell429: 基地保障 台州机场 20分钟   t=16640.618601719663
7-Bell429: 前往 柯桥(集结地)    t=19265.72246784571
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=19625.72246784571
7-Bell429: 前往 磐安    t=21180.86659382746
7-Bell429: JiuYuanMemberNeed 磐安 6   t=21540.86659382746


10-H225: 前往 温城(物资中心)    t=3420.5841316744736
10-H225: WuZiNeed 温城(物资中心) 1700   t=4185.584131674474
10-H225: 前往 乐清    t=4831.785164823297
10-H225: WuZiNeed 乐清 1700   t=5596.785164823297
10-H225: 前往 东阳(水源)    t=7514.570232366496
10-H225: FireNum 东阳(水源) 4   t=8414.570232366495
10-H225: 前往 天台    t=9386.6677665584
10-H225: FireNum 天台 4   t=10286.6677665584
10-H225: 前往 柯桥(集结地)    t=11795.78571559733
10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=12650.78571559733
10-H225: 前往 磐安    t=14132.680299413274
10-H225: JiuYuanMemberNeed 磐安 19   t=14987.680299413274
10-H225: 前往基地 义乌机场    t=15666.44327363074
10-H225: 基地保障 义乌机场 20分钟   t=16866.443273630743
10-H225: 前往 柯桥(集结地)    t=18074.774147230826
10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=18929.774147230826
10-H225: 前往 磐安    t=20411.668731046768
10-H225: JiuYuanMemberNeed 磐安 19   t=21266.668731046768
10-H225: 前往 东阳(水源)    t=21674.53005413635
10-H225: FireNum 东阳(水源) 4   t=22574.53005413635
10-H225: 前往 天台    t=23546.627588328254
10-H225: FireNum 天台 4   t=24446.627588328254
10-H225: 前往 东阳(水源)    t=25418.725122520158
10-H225: FireNum 东阳(水源) 4   t=26318.725122520158
10-H225: 前往 天台    t=27290.822656712062
10-H225: FireNum 天台 4   t=28190.822656712062
10-H225: 前往 东阳(水源)    t=29162.920190903966
10-H225: FireNum 东阳(水源) 4   t=30062.920190903966
10-H225: 前往 天台    t=31035.01772509587
10-H225: FireNum 天台 4   t=31935.01772509587


2-S76: 前往 温城(物资中心)    t=3478.368848855594
2-S76: WuZiNeed 温城(物资中心) 2300   t=4858.3688488555945
2-S76: 前往 乐清    t=5521.385522272231
2-S76: WuZiNeed 乐清 2300   t=6901.385522272231
2-S76: 前往基地 杭州机场    t=10305.516948129125
2-S76: 基地保障 杭州机场 20分钟   t=11505.516948129125
2-S76: 前往 缙云    t=13935.101001686593
2-S76: ToTransZaiMin 缙云 13   t=14715.101001686593
2-S76: 前往 诸暨(安置点)    t=16291.488617078097
2-S76: ToTransZaiMin 诸暨(安置点) 13   t=17071.488617078096
2-S76: 前往 柯桥(集结地)    t=17710.32908928633
2-S76: JiuYuanMemberNeed 柯桥(集结地) 7   t=18130.32908928633
2-S76: 前往 磐安    t=19650.785985692277
2-S76: JiuYuanMemberNeed 磐安 7   t=20070.785985692277
2-S76: 前往基地 义乌机场    t=20767.21193693399
2-S76: 基地保障 义乌机场 20分钟   t=21967.21193693399
2-S76: 前往基地 台州机场    t=24127.948510795766
2-S76: 基地保障 台州机场 20分钟   t=25327.948510795766
2-S76: 前往 东阳(水源)    t=27193.052467153455
2-S76: FireNum 东阳(水源) 2   t=28093.052467153455
2-S76: 前往 天台    t=29090.446219707228
2-S76: FireNum 天台 2   t=29990.446219707228
2-S76: 前往 东阳(水源)    t=30987.839972261
2-S76: FireNum 东阳(水源) 2   t=31887.839972261
2-S76: 前往 天台    t=32885.233724814774
2-S76: FireNum 天台 2   t=33785.233724814774


9-MI171: 前往基地 台州机场    t=1200.0
9-MI171: 基地保障 台州机场 20分钟   t=2400.0
9-MI171: 前往基地 杭州机场    t=5828.794868974192
9-MI171: 基地保障 杭州机场 20分钟   t=7028.794868974192
9-MI171: 前往基地 台州机场    t=10457.589737948383
9-MI171: 基地保障 台州机场 20分钟   t=11657.589737948383
9-MI171: 前往基地 义乌机场    t=14079.415314485126
9-MI171: 基地保障 义乌机场 20分钟   t=15279.415314485126
9-MI171: 前往基地 义乌机场    t=15279.415314485126
9-MI171: 基地保障 义乌机场 20分钟   t=16479.415314485126
9-MI171: 前往基地 义乌机场    t=16479.415314485126
9-MI171: 基地保障 义乌机场 20分钟   t=17679.415314485126
9-MI171: 前往 东阳(水源)    t=18020.41622083785
9-MI171: FireNum 东阳(水源) 3   t=18920.41622083785
9-MI171: 前往 天台    t=20038.32838515854
9-MI171: FireNum 天台 3   t=20938.32838515854
9-MI171: 前往基地 义乌机场    t=22394.559470438926
9-MI171: 基地保障 义乌机场 20分钟   t=23594.559470438926
9-MI171: 前往基地 义乌机场    t=23594.559470438926
9-MI171: 基地保障 义乌机场 20分钟   t=24794.559470438926
9-MI171: 前往 东阳(水源)    t=25135.56037679165
9-MI171: FireNum 东阳(水源) 3   t=26035.56037679165
9-MI171: 前往 天台    t=27153.47254111234
9-MI171: FireNum 天台 3   t=28053.47254111234
9-MI171: 前往基地 台州机场    t=29200.35803159482
9-MI171: 基地保障 台州机场 20分钟   t=30400.35803159482
9-MI171: 前往基地 杭州机场    t=33829.15290056901
9-MI171: 基地保障 杭州机场 20分钟   t=35029.15290056901


1-M-26: 前往 温城(物资中心)    t=3603.4557660476653
1-M-26: WuZiNeed 温城(物资中心) 8000   t=6003.455766047666
1-M-26: 前往 磐安    t=7672.352856710204
1-M-26: WuZiNeed 磐安 8000   t=10072.352856710204
1-M-26: 前往基地 杭州机场    t=12048.315470029283
1-M-26: 基地保障 杭州机场 20分钟   t=13248.315470029283
1-M-26: 前往 缙云    t=15811.288452017357
1-M-26: ToTransZaiMin 缙云 32   t=16771.288452017357
1-M-26: 前往 宁海(安置点)    t=18838.74045489907
1-M-26: ToTransZaiMin 宁海(安置点) 32   t=19798.74045489907
1-M-26: 前往 东阳(水源)    t=21389.000782633786
1-M-26: FireNum 东阳(水源) 15   t=22289.000782633786
1-M-26: 前往 天台    t=23341.153407876787
1-M-26: FireNum 天台 15   t=24241.153407876787
1-M-26: 前往基地 杭州机场    t=26388.832823122557
1-M-26: 基地保障 杭州机场 20分钟   t=27588.832823122557
1-M-26: 前往 温城(物资中心)    t=31031.21039302038
1-M-26: SheBeiNeed 温城(物资中心) 1   t=32231.21039302038
1-M-26: 前往 缙云    t=34066.21933871512
1-M-26: SheBeiNeed 缙云 1   t=35266.21933871512
1-M-26: 前往基地 台州机场    t=37108.07516510523
1-M-26: 基地保障 台州机场 20分钟   t=38308.07516510523
1-M-26: 前往基地 台州机场    t=38308.07516510523
1-M-26: 基地保障 台州机场 20分钟   t=39508.07516510523
1-M-26: 前往 温城(物资中心)    t=39796.30562299531
1-M-26: SheBeiNeed 温城(物资中心) 1   t=40996.30562299531
1-M-26: 前往 缙云    t=42831.314568690046
1-M-26: SheBeiNeed 缙云 1   t=44031.314568690046


