

9-MI171: 前往 东阳(水源)    t=1541.000906352725
9-MI171: FireNum 东阳(水源) 3   t=2441.000906352725
9-MI171: 前往 天台    t=3558.9130706734136
9-MI171: FireNum 天台 3   t=4458.913070673414
9-MI171: 前往基地 义乌机场    t=5915.1441559538
9-MI171: 基地保障 义乌机场 20分钟   t=7115.1441559538


8-H135: 前往 缙云    t=2291.796206222275
8-H135: ToTransZaiMin 缙云 2   t=2411.796206222275
8-H135: 前往 诸暨(安置点)    t=4081.2775784282376
8-H135: ToTransZaiMin 诸暨(安置点) 2   t=4201.277578428238
8-H135: 前往 乐清    t=6904.930015790864
8-H135: ToTransShangYuan 乐清 2   t=7504.930015790864
8-H135: 前往 柯桥(集结地)    t=10667.340710809476
8-H135: ToTransShangYuan 柯桥(集结地) 2   t=11267.340710809476
8-H135: 前往 柯桥(集结地)    t=11267.340710809476
8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=11387.340710809476
8-H135: 前往 磐安    t=12997.588368814202
8-H135: JiuYuanMemberNeed 磐安 2   t=13117.588368814202
8-H135: 前往 缙云    t=13921.199719667175
8-H135: ToTransZaiMin 缙云 2   t=14041.199719667175
8-H135: 前往 宁海(安置点)    t=16116.791297363383
8-H135: ToTransZaiMin 宁海(安置点) 2   t=16236.791297363383


3-H155: 前往 温城(物资中心)    t=3388.861501221981
3-H155: WuZiNeed 温城(物资中心) 1700   t=4408.861501221982
3-H155: 前往 乐清    t=5045.831091040107
3-H155: WuZiNeed 乐清 1700   t=6065.831091040107
3-H155: 前往基地 杭州机场    t=9336.228782309765
3-H155: 基地保障 杭州机场 20分钟   t=10536.228782309765
3-H155: 前往 缙云    t=12870.364890906047
3-H155: ToTransZaiMin 缙云 13   t=13650.364890906047
3-H155: 前往 宁海(安置点)    t=15533.222964959035
3-H155: ToTransZaiMin 宁海(安置点) 13   t=16313.222964959035


5-AC313_YL: 前往 柯桥(集结地)    t=1776.7589061797962
5-AC313_YL: JiuYuanMemberNeed 柯桥(集结地) 19   t=2631.758906179796
5-AC313_YL: 前往 宁海(安置点)    t=4426.100970154761
5-AC313_YL: JiuYuanMemberNeed 宁海(安置点) 19   t=5281.100970154761
5-AC313_YL: 前往 乐清    t=7248.151220036681
5-AC313_YL: ToTransShangYuan 乐清 1   t=7548.151220036681
5-AC313_YL: 前往 柯桥(集结地)    t=10748.359652445954
5-AC313_YL: ToTransShangYuan 柯桥(集结地) 1   t=11048.359652445954
5-AC313_YL: 前往基地 义乌机场    t=12377.042206683496
5-AC313_YL: 基地保障 义乌机场 20分钟   t=13577.042206683496
5-AC313_YL: 前往 缙云    t=14681.887769952253
5-AC313_YL: ToTransZaiMin 缙云 19   t=15536.887769952253
5-AC313_YL: 前往 诸暨(安置点)    t=17226.32310278219
5-AC313_YL: ToTransZaiMin 诸暨(安置点) 19   t=18081.32310278219


4-AC312: 前往 缙云    t=3620.585594099848
4-AC312: ToTransZaiMin 缙云 12   t=4340.585594099848
4-AC312: 前往 宁海(安置点)    t=6293.179152377023
4-AC312: ToTransZaiMin 宁海(安置点) 12   t=7013.179152377023
4-AC312: 前往 柯桥(集结地)    t=8681.252700738934
4-AC312: JiuYuanMemberNeed 柯桥(集结地) 12   t=9401.252700738934
4-AC312: 前往 磐安    t=10916.078275306343
4-AC312: JiuYuanMemberNeed 磐安 12   t=11636.078275306343
4-AC312: 前往基地 台州机场    t=13099.800076126483
4-AC312: 基地保障 台州机场 20分钟   t=14299.800076126483
4-AC312: 前往 缙云    t=16039.330578828249
4-AC312: ToTransZaiMin 缙云 12   t=16759.33057882825
4-AC312: 前往 宁海(安置点)    t=18711.924137105423
4-AC312: ToTransZaiMin 宁海(安置点) 12   t=19431.924137105423


7-Bell429: 前往 柯桥(集结地)    t=3825.1038661260473
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=4185.103866126047
7-Bell429: 前往 宁海(安置点)    t=5897.57480931128
7-Bell429: JiuYuanMemberNeed 宁海(安置点) 6   t=6257.57480931128
7-Bell429: 前往 柯桥(集结地)    t=7970.045752496512
7-Bell429: JiuYuanMemberNeed 柯桥(集结地) 6   t=8330.045752496513
7-Bell429: 前往 磐安    t=9885.189878478262
7-Bell429: JiuYuanMemberNeed 磐安 6   t=10245.189878478262
7-Bell429: 前往 缙云    t=11021.301221127142
7-Bell429: ToTransZaiMin 缙云 6   t=11381.301221127142
7-Bell429: 前往 宁海(安置点)    t=13385.86495015694
7-Bell429: ToTransZaiMin 宁海(安置点) 6   t=13745.86495015694
7-Bell429: 前往基地 台州机场    t=14858.29328516772
7-Bell429: 基地保障 台州机场 20分钟   t=16058.29328516772
7-Bell429: 前往 缙云    t=17844.12307881592
7-Bell429: ToTransZaiMin 缙云 6   t=18204.12307881592
7-Bell429: 前往 宁海(安置点)    t=20208.68680784572
7-Bell429: ToTransZaiMin 宁海(安置点) 6   t=20568.68680784572


6-AC311: 前往 天台    t=2346.8854904824784
6-AC311: ZCArea 天台 160   t=5306.885490482478
6-AC311: 前往 柯桥(集结地)    t=7042.37113187725
6-AC311: JiuYuanMemberNeed 柯桥(集结地) 4   t=7282.37113187725
6-AC311: 前往 磐安    t=8986.549903265584
6-AC311: JiuYuanMemberNeed 磐安 4   t=9226.549903265584
6-AC311: 前往 缙云    t=10077.038582918314
6-AC311: ToTransZaiMin 缙云 4   t=10317.038582918314
6-AC311: 前往 宁海(安置点)    t=12513.706335980136
6-AC311: ToTransZaiMin 宁海(安置点) 4   t=12753.706335980136
6-AC311: 前往基地 杭州机场    t=15228.097157186487
6-AC311: 基地保障 杭州机场 20分钟   t=16428.097157186487
6-AC311: 前往 缙云    t=19151.255950548817
6-AC311: ToTransZaiMin 缙云 4   t=19391.255950548817
6-AC311: 前往 诸暨(安置点)    t=21158.12373613346
6-AC311: ToTransZaiMin 诸暨(安置点) 4   t=21398.12373613346


2-S76: 前往 温城(物资中心)    t=4463.2203729514695
2-S76: WuZiNeed 温城(物资中心) 2300   t=5843.2203729514695
2-S76: 前往 乐清    t=6506.237046368106
2-S76: WuZiNeed 乐清 2300   t=7886.237046368106
2-S76: 前往基地 台州机场    t=8768.225634153674
2-S76: 基地保障 台州机场 20分钟   t=9968.225634153674
2-S76: 前往 缙云    t=11714.222792999311
2-S76: ToTransZaiMin 缙云 13   t=12494.222792999311
2-S76: 前往 宁海(安置点)    t=14454.07506338904
2-S76: ToTransZaiMin 宁海(安置点) 13   t=15234.07506338904
2-S76: 前往基地 义乌机场    t=17028.99714472564
2-S76: 基地保障 义乌机场 20分钟   t=18228.99714472564
2-S76: 前往 缙云    t=19259.912521604663
2-S76: ToTransZaiMin 缙云 8   t=19739.912521604663
2-S76: 前往 诸暨(安置点)    t=21316.300136996168
2-S76: ToTransZaiMin 诸暨(安置点) 8   t=21796.300136996168
2-S76: 前往 东阳(水源)    t=22437.03574213699
2-S76: FireNum 东阳(水源) 2   t=23337.03574213699
2-S76: 前往 天台    t=24334.429494690765
2-S76: FireNum 天台 2   t=25234.429494690765
2-S76: 前往基地 台州机场    t=26257.67305497253
2-S76: 基地保障 台州机场 20分钟   t=27457.67305497253


1-M-26: 前往 温城(物资中心)    t=1488.2304578900776
1-M-26: WuZiNeed 温城(物资中心) 8000   t=3888.2304578900776
1-M-26: 前往 磐安    t=5557.127548552615
1-M-26: WuZiNeed 磐安 8000   t=7957.127548552615
1-M-26: 前往 温城(物资中心)    t=9626.024639215153
1-M-26: SheBeiNeed 温城(物资中心) 1   t=10826.024639215153
1-M-26: 前往 缙云    t=12661.033584909892
1-M-26: SheBeiNeed 缙云 1   t=13861.033584909892
1-M-26: 前往基地 义乌机场    t=14948.548237382276
1-M-26: 基地保障 义乌机场 20分钟   t=16148.548237382276
1-M-26: 前往 柯桥(集结地)    t=17456.388712337663
1-M-26: JiuYuanMemberNeed 柯桥(集结地) 56   t=19136.388712337663
1-M-26: 前往 磐安    t=20740.32167364433
1-M-26: JiuYuanMemberNeed 磐安 56   t=22420.32167364433
1-M-26: 前往 温城(物资中心)    t=24089.218764306865
1-M-26: SheBeiNeed 温城(物资中心) 1   t=25289.218764306865
1-M-26: 前往 缙云    t=27124.227710001604
1-M-26: SheBeiNeed 缙云 1   t=28324.227710001604
1-M-26: 前往基地 义乌机场    t=29411.742362473986
1-M-26: 基地保障 义乌机场 20分钟   t=30611.742362473986


10-H225: 前往 柯桥(集结地)    t=3701.457669533153
10-H225: JiuYuanMemberNeed 柯桥(集结地) 15   t=4376.4576695331525
10-H225: 前往 宁海(安置点)    t=6008.268749452414
10-H225: JiuYuanMemberNeed 宁海(安置点) 15   t=6683.268749452414
10-H225: 前往 东阳(水源)    t=8152.531008772532
10-H225: FireNum 东阳(水源) 4   t=9052.531008772532
10-H225: 前往 天台    t=10024.628542964436
10-H225: FireNum 天台 4   t=10924.628542964436
10-H225: 前往 东阳(水源)    t=11896.72607715634
10-H225: FireNum 东阳(水源) 4   t=12796.72607715634
10-H225: 前往 天台    t=13768.823611348244
10-H225: FireNum 天台 4   t=14668.823611348244
10-H225: 前往基地 杭州机场    t=16653.092636303572
10-H225: 基地保障 杭州机场 20分钟   t=17853.092636303572
10-H225: 前往 缙云    t=20221.05680444473
10-H225: ToTransZaiMin 缙云 19   t=21076.05680444473
10-H225: 前往 诸暨(安置点)    t=22612.463574518333
10-H225: ToTransZaiMin 诸暨(安置点) 19   t=23467.463574518333
10-H225: 前往 东阳(水源)    t=24091.948638949063
10-H225: FireNum 东阳(水源) 4   t=24991.948638949063
10-H225: 前往 天台    t=25964.046173140967
10-H225: FireNum 天台 4   t=26864.046173140967
10-H225: 前往 东阳(水源)    t=27836.14370733287
10-H225: FireNum 东阳(水源) 4   t=28736.14370733287
10-H225: 前往 天台    t=29708.241241524775
10-H225: FireNum 天台 4   t=30608.241241524775
10-H225: 前往基地 台州机场    t=31605.532972379104
10-H225: 基地保障 台州机场 20分钟   t=32805.53297237911
10-H225: 前往基地 义乌机场    t=34911.4682563241
10-H225: 基地保障 义乌机场 20分钟   t=36111.4682563241
10-H225: 前往 东阳(水源)    t=36407.99078358734
10-H225: FireNum 东阳(水源) 4   t=37307.99078358734
10-H225: 前往 天台    t=38280.08831777924
10-H225: FireNum 天台 4   t=39180.08831777924
10-H225: 前往 东阳(水源)    t=40152.185851971146
10-H225: FireNum 东阳(水源) 4   t=41052.185851971146
10-H225: 前往 天台    t=42024.28338616305
10-H225: FireNum 天台 4   t=42924.28338616305
10-H225: 前往 东阳(水源)    t=43896.38092035495
10-H225: FireNum 东阳(水源) 4   t=44796.38092035495
10-H225: 前往 天台    t=45768.47845454686
10-H225: FireNum 天台 4   t=46668.47845454686
10-H225: 前往 东阳(水源)    t=47640.57598873876
10-H225: FireNum 东阳(水源) 4   t=48540.57598873876
10-H225: 前往 天台    t=49512.673522930665
10-H225: FireNum 天台 4   t=50412.673522930665
10-H225: 前往基地 义乌机场    t=51678.96142317448
10-H225: 基地保障 义乌机场 20分钟   t=52878.96142317448
10-H225: 前往基地 杭州机场    t=54252.18239837106
10-H225: 基地保障 杭州机场 20分钟   t=55452.18239837106
10-H225: 前往 东阳(水源)    t=56924.10090522739
10-H225: FireNum 东阳(水源) 4   t=57824.10090522739
10-H225: 前往 天台    t=58796.19843941929
10-H225: FireNum 天台 4   t=59696.19843941929


