9-MI171: 前往基地 义乌机场    t=1200.0
9-MI171: 基地保障 义乌机场 20分钟   t=2400.0
9-MI171: 前往基地 台州机场    t=4821.825576536743
9-MI171: 基地保障 台州机场 20分钟   t=6021.825576536743


11-BZK_005: 前往 天台    t=4242.545838264839
11-BZK_005: ZCArea 天台 160   t=4396.14583826484


6-AC311: 前往 缙云    t=3156.971815539485
6-AC311: ToTransZaiMin 缙云 4   t=3396.971815539485
6-AC311: 前往 诸暨(安置点)    t=5163.839601124128
6-AC311: ToTransZaiMin 诸暨(安置点) 4   t=5403.839601124128
6-AC311: 前往 温城(物资中心)    t=8179.049808047574
6-AC311: WuZiNeed 温城(物资中心) 976   t=8764.649808047574
6-AC311: 前往 乐清    t=9507.78099616872
6-AC311: WuZiNeed 乐清 976   t=10093.38099616872
6-AC311: 前往 缙云    t=11669.572680135618
6-AC311: ToTransZaiMin 缙云 4   t=11909.572680135618
6-AC311: 前往 诸暨(安置点)    t=13676.440465720261
6-AC311: ToTransZaiMin 诸暨(安置点) 4   t=13916.440465720261


4-AC312: 前往 缙云    t=3620.585594099848
4-AC312: ToTransZaiMin 缙云 12   t=4340.585594099848
4-AC312: 前往 诸暨(安置点)    t=5911.134736841754
4-AC312: ToTransZaiMin 诸暨(安置点) 12   t=6631.134736841754
4-AC312: 前往 缙云    t=8201.68387958366
4-AC312: ToTransZaiMin 缙云 12   t=8921.68387958366
4-AC312: 前往 诸暨(安置点)    t=10492.233022325565
4-AC312: ToTransZaiMin 诸暨(安置点) 12   t=11212.233022325565
4-AC312: 前往基地 义乌机场    t=11811.464538874307
4-AC312: 基地保障 义乌机场 20分钟   t=13011.464538874307
4-AC312: 前往 缙云    t=14038.56171065378
4-AC312: ToTransZaiMin 缙云 3   t=14218.56171065378
4-AC312: 前往 诸暨(安置点)    t=15789.110853395685
4-AC312: ToTransZaiMin 诸暨(安置点) 3   t=15969.110853395685


8-H135: 前往 温城(物资中心)    t=3612.9181903234435
8-H135: WuZiNeed 温城(物资中心) 1455   t=4485.918190323444
8-H135: 前往 乐清    t=5188.089391697756
8-H135: WuZiNeed 乐清 1455   t=6061.089391697756
8-H135: 前往 缙云    t=7550.404368674351
8-H135: ToTransZaiMin 缙云 2   t=7670.404368674351
8-H135: 前往 诸暨(安置点)    t=9339.885740880314
8-H135: ToTransZaiMin 诸暨(安置点) 2   t=9459.885740880314
8-H135: 前往 乐清    t=12163.538178242941
8-H135: ToTransShangYuan 乐清 2   t=12763.538178242941
8-H135: 前往 柯桥(集结地)    t=15925.948873261554
8-H135: ToTransShangYuan 柯桥(集结地) 2   t=16525.948873261554


3-H155: 前往 温城(物资中心)    t=3388.861501221981
3-H155: WuZiNeed 温城(物资中心) 1820   t=4480.861501221982
3-H155: 前往 磐安    t=6000.749923075364
3-H155: WuZiNeed 磐安 1820   t=7092.749923075364
3-H155: 前往 缙云    t=7821.740219920561
3-H155: ToTransZaiMin 缙云 13   t=8601.74021992056
3-H155: 前往 诸暨(安置点)    t=10116.198321850256
3-H155: ToTransZaiMin 诸暨(安置点) 13   t=10896.198321850256
3-H155: 前往基地 义乌机场    t=11474.02871280797
3-H155: 基地保障 义乌机场 20分钟   t=12674.02871280797
3-H155: 前往 缙云    t=13664.443842738177
3-H155: ToTransZaiMin 缙云 13   t=14444.443842738177
3-H155: 前往 宁海(安置点)    t=16327.301916791166
3-H155: ToTransZaiMin 宁海(安置点) 13   t=17107.301916791166


7-Bell429: 前往 温城(物资中心)    t=4537.666465110058
7-Bell429: WuZiNeed 温城(物资中心) 1200   t=5257.666465110058
7-Bell429: 前往 乐清    t=5935.808994193994
7-Bell429: WuZiNeed 乐清 1200   t=6655.808994193994
7-Bell429: 前往 温城(物资中心)    t=7333.95152327793
7-Bell429: WuZiNeed 温城(物资中心) 369   t=7555.35152327793
7-Bell429: 前往 乐清    t=8233.494052361866
7-Bell429: WuZiNeed 乐清 369   t=8454.894052361866
7-Bell429: 前往 缙云    t=9893.243878035079
7-Bell429: ToTransZaiMin 缙云 6   t=10253.243878035079
7-Bell429: 前往 诸暨(安置点)    t=11865.594708986844
7-Bell429: ToTransZaiMin 诸暨(安置点) 6   t=12225.594708986844
7-Bell429: 前往基地 义乌机场    t=12840.775353352472
7-Bell429: 基地保障 义乌机场 20分钟   t=14040.775353352472
7-Bell429: 前往基地 台州机场    t=16250.806297720603
7-Bell429: 基地保障 台州机场 20分钟   t=17450.806297720603


2-S76: 前往 温城(物资中心)    t=3478.368848855594
2-S76: WuZiNeed 温城(物资中心) 2300   t=4858.3688488555945
2-S76: 前往 磐安    t=6440.408841862833
2-S76: WuZiNeed 磐安 2300   t=7820.408841862833
2-S76: 前往基地 杭州机场    t=9693.533252258243
2-S76: 基地保障 杭州机场 20分钟   t=10893.533252258243
2-S76: 前往 缙云    t=13323.117305815711
